time,max,min,mean,median
2005010100,1006.5,1006.1,1006.2850000000003,1006.3
2005010101,1006.1,1005.8,1005.8933333333342,1005.9
2005010102,1006.2,1005.8,1006.0616666666652,1006.1
2005010103,1006.3,1005.8,1006.0033333333345,1005.9
2005010104,1006.1,1005.8,1005.9516666666673,1006.0
2005010105,1006.5,1005.9,1006.2116666666668,1006.2
2005010106,1007.0,1006.5,1006.6783333333332,1006.6500000000001
2005010107,1007.9,1006.8,1007.168333333333,1007.1
2005010108,1008.4,1007.9,1008.1,1008.1
2005010109,1008.4,1008.1,1008.1816666666657,1008.2
2005010110,1008.6,1008.2,1008.4050000000001,1008.4
2005010111,1008.2,1006.7,1007.5166666666665,1007.5
2005010112,1006.6,1005.4,1005.9166666666667,1005.9
2005010113,1006.4,1005.1,1005.7150000000001,1005.6
2005010114,1009.5,0.9,905.4066666666669,1005.4
2005010115,1005.4,1002.9,1003.9950000000003,1004.0
2005010116,1002.8,1000.7,1001.6516666666664,1001.6
2005010117,1000.7,998.9,999.8050000000005,999.8
2005010118,998.9,997.7,998.2583333333332,998.3
2005010119,997.7,996.8,997.2650000000007,997.4
2005010120,996.8,995.9,996.3466666666666,996.4
2005010121,995.8,994.8,995.4216666666673,995.55
2005010122,995.3,994.8,994.9850000000001,995.0
2005010123,995.0,988.8,993.6050000000004,994.6
2005010200,988.4,981.6,984.4733333333335,984.3
2005010201,981.4,972.4,976.5733333333333,976.1
2005010202,972.6,967.9,969.8816666666667,969.5
2005010203,971.5,967.8,969.6333333333331,969.6
2005010204,973.0,971.5,972.5283333333334,972.6500000000001
2005010205,972.2,968.3,970.3566666666666,970.3499999999999
2005010206,968.2,966.3,967.0466666666667,967.0
2005010207,967.2,966.4,966.7916666666669,966.8499999999999
2005010208,968.4,966.8,967.6833333333335,967.6
2005010209,969.3,968.5,968.8933333333326,968.9
2005010210,968.9,966.2,967.6516666666666,967.7
2005010211,966.1,962.6,964.1250000000001,963.9
2005010212,962.6,958.6,960.6633333333334,960.75
2005010213,958.4,956.6,957.1316666666656,957.0
2005010214,956.7,956.1,956.4099999999994,956.5
2005010215,956.1,953.0,954.8833333333331,954.9
2005010216,954.2,952.6,953.188333333333,953.0
2005010217,958.0,954.4,956.0933333333338,956.2
2005010218,960.8,958.0,959.5433333333339,959.5
2005010219,962.1,961.0,961.8016666666666,961.9
2005010220,961.9,960.9,961.3883333333335,961.3
2005010221,961.3,960.5,960.9533333333334,961.0
2005010222,960.5,960.0,960.2066666666656,960.2
2005010223,963.1,960.2,961.4216666666664,961.4
2005010300,966.3,963.0,964.7499999999998,964.8499999999999
2005010301,969.2,966.4,967.6933333333332,967.7
2005010302,972.7,969.3,970.7899999999998,970.6
2005010303,973.7,972.7,973.2000000000005,973.2
2005010304,975.4,973.8,974.4233333333334,974.3
2005010305,977.1,975.4,976.4383333333336,976.45
2005010306,977.2,976.5,976.861666666666,976.8
2005010307,976.4,973.1,974.8116666666666,975.0
2005010308,972.8,969.1,971.2649999999998,971.4
2005010309,969.0,967.4,967.9983333333332,967.9
2005010310,970.6,968.1,969.2216666666666,969.1
2005010311,973.4,970.7,972.1116666666666,972.1
2005010312,974.0,973.4,973.7250000000004,973.8
2005010313,973.8,972.2,973.2683333333333,973.4
2005010314,972.2,969.0,970.5833333333334,970.45
2005010315,971.2,968.7,969.5433333333334,969.3
