time,max,min,mean,median
20050101,1009.5,0.9,999.201180555554,1005.9
20050102,988.4,952.6,964.5551388888867,962.8
20050103,980.1,963.0,973.1569444444463,973.5
20050104,984.3,969.8,976.5293749999993,976.9
20050105,982.0,964.6,972.0269444444428,971.0
20050106,984.7,967.0,978.2565972222231,978.8
20050107,985.6,971.3,978.5145138888864,978.4
20050108,984.9,974.6,980.6324999999997,981.05
20050109,990.0,973.3,983.4474305555575,984.5
20050110,982.5,969.2,975.6825000000026,976.0
20050111,982.5,972.0,978.1421527777785,978.6
20050112,983.8,969.8,976.7190277777765,976.45
20050113,981.5,968.7,975.1032638888908,974.8
20050114,983.4,964.9,975.0442361111132,974.9
20050115,985.7,969.7,977.1468750000013,976.9
20050116,987.7,971.2,978.7113194444457,978.4
20050117,979.4,965.1,972.7661805555549,972.4
20050118,980.3,969.3,974.3579166666689,974.2
20050119,984.9,970.8,978.8324305555553,979.3
20050120,990.2,975.6,984.3381944444462,985.7
20050121,985.7,968.0,977.731666666668,978.1
20050122,975.8,964.6,970.2743750000013,969.9
20050123,975.4,964.7,971.3082638888886,971.3
20050124,976.4,961.1,968.453263888891,968.7
20050125,973.6,959.4,966.6895833333322,966.5
20050126,975.5,961.6,967.9805555555578,967.5
20050127,973.0,956.8,965.6142361111121,965.6
20050128,966.1,955.7,960.8881249999981,960.7
20050129,984.9,966.2,974.5104166666677,973.4
20050130,983.7,967.4,974.7163888888898,974.2
20050131,984.4,966.9,975.2727777777774,974.8
20050201,984.6,972.1,979.2078472222237,979.5
20050202,988.3,978.4,983.5270138888906,984.6
20050203,981.7,976.1,979.1087500000006,979.2
20050204,983.8,976.1,980.0902083333281,980.5
20050205,984.4,970.1,977.6436805555544,975.9
20050206,985.6,971.9,978.2102777777775,977.4
20050207,984.9,971.0,978.4109027777781,978.3
20050208,983.1,968.4,975.8751388888857,976.0
20050209,982.8,972.7,979.1317361111089,979.2
20050210,993.2,978.8,985.641527777776,984.9
20050211,989.6,974.2,981.7967361111098,981.3
20050212,984.6,972.4,978.5520833333342,978.0
20050213,979.6,964.2,971.7559027777794,971.1
20050214,973.7,962.1,967.5697222222228,967.55
20050215,975.0,964.3,969.4154166666684,969.4
20050216,974.0,965.0,969.6909722222239,969.6
20050217,979.0,966.9,974.9827777777797,975.4
20050218,1002.6,975.5,988.1126388888908,985.9
20050219,1025.7,-5694.0,991.3879166666716,1009.3
20050220,1011.4,995.1,1003.6643750000002,1003.7
20050221,1281.4,981.4,992.136666666665,993.4
20050222,990.2,972.7,982.3254166666658,983.6
20050223,985.1,144.5,979.0288888888872,981.0
20050224,985.4,972.5,980.1418055555558,982.4
20050225,994.3,2.0,986.8812500000001,989.0
20050226,1002.2,985.8,993.5749305555576,994.4
20050227,993.7,986.4,990.8279861111098,991.8
20050228,996.5,981.1,989.6459722222237,991.0
20050301,992.1,979.1,986.1334027777763,987.5
20050302,1001.0,989.4,995.3868055555553,995.1
20050303,1009.0,170.4,999.644236111112,1001.5
20050304,1182.9,1004.8,1009.1757638888877,1008.0
20050305,1008.2,26.1,978.8915972222235,993.0
20050306,986.4,972.7,980.2193749999983,979.4
20050307,980.1,967.8,975.2363888888885,976.5
20050308,974.6,964.3,969.3450694444463,970.1
20050309,968.6,167.0,961.2400000000007,964.4
20050310,970.1,959.8,963.534722222224,963.7
20050311,1523.7,970.0,980.1684722222253,980.3
20050312,993.8,3.0,985.4018055555536,986.9
20050313,1421.5,172.4,982.9728472222248,981.4
20050314,976.2,963.5,968.7604861111103,966.1
20050315,976.1,143.4,969.4552083333355,969.9
20050316,975.7,223.2,971.7074999999967,972.8
20050317,984.6,972.2,981.0069444444453,981.5
20050318,989.6,970.5,981.3520833333348,982.2
20050319,978.5,967.1,972.8264583333324,972.9
20050320,975.9,962.7,968.9791666666631,969.45
20050321,968.8,962.3,965.7225000000009,965.9
20050322,970.8,964.0,968.3675694444418,969.0
20050323,976.6,968.4,972.337013888884,972.1
20050324,983.1,968.1,976.1227777777784,976.8
20050325,974.9,962.6,968.861388888886,969.5
20050326,968.7,961.1,964.7663888888902,965.1
20050327,966.9,959.3,963.3848611111122,964.3
20050328,968.4,959.9,964.2936111111129,964.1
20050329,973.6,965.8,968.9123611111144,968.6
20050330,971.2,959.3,965.7820138888886,966.95
20050331,966.2,958.1,962.0598611111072,962.8
20050401,969.3,961.3,964.7870833333311,964.2
20050402,970.0,964.2,966.409652777784,966.1
20050403,975.5,965.6,969.812777777775,969.4
20050404,968.1,954.7,961.7335416666668,963.5
20050405,955.6,944.5,950.3950000000033,950.8499999999999
20050406,949.4,938.9,944.1763888888892,946.0
20050407,951.1,941.5,945.1914583333347,944.7
20050408,967.8,950.9,958.3290972222239,957.6
20050409,971.8,965.9,968.9921527777788,969.2
20050410,975.2,967.1,970.7595833333321,970.5
20050411,970.8,965.8,968.4952083333392,968.9
20050412,975.4,969.9,972.5230555555585,972.5
20050413,977.0,965.1,971.3322916666658,972.3499999999999
20050414,972.2,962.6,967.2891666666677,968.0
20050415,972.7,963.5,967.8431944444444,968.2
20050416,968.6,958.5,963.6063194444447,964.0
20050417,965.2,957.0,961.2630555555497,961.6
20050418,966.4,956.7,961.9298611111096,962.5
20050419,969.9,963.9,966.0361111111085,965.8
20050420,965.8,958.7,962.5685416666682,963.2
20050421,965.0,955.0,959.8319444444444,961.0
20050422,965.0,955.0,959.3555555555556,959.0
20050423,960.0,952.0,956.5125,957.0
20050424,960.0,954.0,956.5006944444444,956.0
20050425,960.0,950.0,955.1736111111111,956.0
20050426,954.0,943.0,948.9583333333334,949.0
20050427,950.0,938.0,944.1722222222222,946.0
20050428,944.0,934.0,939.0805555555555,940.0
20050429,944.0,933.0,938.50625,939.0
20050430,945.0,935.0,939.5270833333333,939.0
20050501,955.0,946.0,949.4506944444445,949.0
20050502,955.0,945.0,950.2854166666667,952.0
20050503,951.0,940.0,945.9722222222222,948.0
20050504,951.0,940.0,945.9722222222222,948.0
20050505,954.0,941.0,949.5597222222223,950.0
20050506,956.0,943.0,949.7284722222222,952.0
20050507,949.0,942.0,944.3666666666667,944.0
20050508,956.0,945.0,950.2680555555555,951.0
20050509,951.0,941.0,946.3493055555556,947.0
20050510,948.0,938.0,943.95,944.0
20050511,950.0,942.0,945.28125,945.0
20050512,949.0,940.0,944.4875,944.0
20050513,950.0,943.0,946.39375,947.0
20050514,954.0,947.0,950.3618055555555,951.0
20050515,955.0,951.0,952.9083333333333,953.0
20050516,954.0,948.0,950.8236111111111,951.0
20050517,958.0,950.0,954.0375,954.0
20050518,963.0,954.0,958.4347222222223,959.0
20050519,960.0,953.0,956.6916666666667,957.0
20050520,961.0,951.0,955.61875,956.0
20050521,954.0,945.0,950.0416666666666,950.0
20050522,955.0,948.0,951.5458333333333,951.0
20050523,956.0,947.0,951.0763888888889,951.0
20050524,954.0,945.0,949.2840277777777,950.0
20050525,951.0,943.0,947.2583333333333,948.0
20050526,951.0,944.0,947.8944444444444,948.0
20050527,952.0,944.0,948.0444444444445,949.0
20050528,953.0,947.0,949.7923611111111,950.0
20050529,955.0,951.0,953.2861111111112,953.0
20050530,954.0,941.0,949.0486111111111,950.0
20050531,948.0,943.0,945.6993055555556,946.0
20050601,948.0,940.0,943.6451388888889,944.0
20050602,946.0,937.0,941.4652777777778,943.0
20050603,946.0,935.0,940.3819444444445,940.0
20050604,944.0,938.0,940.3986111111111,940.0
20050605,954.0,942.0,949.0333333333333,949.0
20050606,955.0,946.0,950.5013888888889,951.0
20050607,949.0,939.0,943.9576388888889,944.0
20050608,944.0,938.0,940.8979166666667,941.0
20050609,946.0,942.0,943.9243055555555,944.0
20050610,945.0,937.0,940.8986111111111,943.0
20050611,941.0,935.0,937.6611111111112,938.0
20050612,939.0,930.0,935.1215277777778,936.0
20050613,938.0,930.0,933.7125,934.0
20050614,939.0,933.0,935.425,935.0
20050615,942.0,931.0,939.0763888888889,940.0
20050616,939.0,931.0,935.2131944444444,935.0
20050617,942.0,934.0,939.2881944444445,940.0
20050618,938.0,933.0,935.3173611111112,935.0
20050619,938.0,932.0,935.4416666666667,937.0
20050620,940.0,933.0,936.0493055555555,936.0
20050621,943.0,933.0,937.8729166666667,938.0
20050622,943.0,934.0,938.8666666666667,940.0
20050623,940.0,931.0,936.1875,937.0
20050624,937.0,222.0,933.8597222222222,936.0
20050625,941.0,935.0,937.8784722222222,938.0
20050626,938.0,931.0,934.83125,935.0
20050627,939.0,5.0,934.9527777777778,936.0
20050628,943.0,936.0,939.4854166666667,940.0
20050629,945.0,937.0,940.9368055555556,942.0
20050630,944.0,941.0,942.3444444444444,942.0
20050701,943.0,940.0,941.5159722222222,942.0
20050702,947.0,209.0,940.4458333333333,943.0
20050703,947.0,207.0,942.2270833333333,944.5
20050704,945.0,209.0,941.3902777777778,944.0
20050705,945.0,209.0,941.3902777777778,944.0
20050706,949.0,-6.0,931.9875,944.0
20050707,945.0,542.0,941.4347222222223,942.0
20050708,942.0,938.0,940.575,941.0
20050709,942.0,-7.0,936.3569444444445,940.0
20050710,942.0,-4.0,938.0173611111111,941.0
20050711,944.0,538.0,942.0625,943.0
20050712,944.0,937.0,940.5472222222222,941.0
20050713,941.0,936.0,939.2256944444445,940.0
20050714,946.0,-614.0,939.1506944444444,941.0
20050715,948.0,277.0,943.9666666666667,945.0
20050716,945.0,562.0,941.6805555555555,942.0
20050717,944.0,535.0,942.1972222222222,943.0
20050718,950.0,537.0,945.5590277777778,946.0
20050719,950.0,946.0,948.0805555555555,948.0
20050720,950.0,944.0,946.6166666666667,947.0
20050721,946.0,941.0,943.9118055555556,944.0
20050722,947.0,-655.0,942.0909722222223,944.0
20050723,948.0,941.0,944.7465277777778,945.0
20050724,946.0,941.0,944.2375,945.0
20050725,947.0,942.0,944.6104166666667,945.0
20050726,945.0,-652.0,936.4854166666667,942.0
20050727,941.0,216.0,938.81875,940.0
20050728,942.0,219.0,939.9868055555555,941.0
20050729,944.0,532.0,940.7055555555555,941.0
20050730,945.0,229.0,939.1368055555556,941.0
