time,max,min,mean,median
20050092,1009.5,0.9,978.971087962965,973.9
20050104,990.0,964.6,977.2704513888868,977.3
20050116,990.2,956.8,973.0881655092694,972.5
20050128,984.9,955.7,971.3469270833355,972.0
20050200,993.2,968.4,979.8767108585872,979.9
20050212,1281.4,-5694.0,980.718564814817,978.4
20050224,1002.2,2.0,988.2143888888841,989.0
20050296,1182.9,26.1,989.2410813492077,991.6
20050308,1523.7,3.0,973.9809664351712,973.6
20050320,983.1,958.1,967.4657928240849,966.8
20050392,975.5,961.3,967.0031712962883,966.6
20050404,977.0,938.9,962.2550115740794,966.6
20050416,969.9,938.0,957.9923958333334,959.0
20050428,945.0,933.0,939.037962962963,939.0
20050500,956.0,938.0,947.3803661616162,948.0
20050512,963.0,940.0,951.8684606481481,952.0
20050524,955.0,941.0,948.7884548611111,949.0
20050596,955.0,935.0,944.197619047619,944.0
20050608,946.0,930.0,937.6648148148148,937.0
20050620,945.0,5.0,937.5695707070707,937.0
20050692,947.0,207.0,941.3962962962963,943.0
20050704,949.0,-614.0,939.6754050925925,941.0
20050716,950.0,-655.0,943.2529513888888,944.0
20050728,945.0,219.0,940.2192708333333,941.0
20050800,949.0,157.0,939.5219696969697,942.0
20050812,959.0,-410.0,943.2398148148148,950.0
20050824,975.0,-6.0,944.8193576388888,950.0
20050896,962.0,-5.0,949.4679563492064,955.0
20050908,970.0,5.0,947.4942129629629,952.0
20050920,970.0,5.0,954.3601641414141,962.0
20050992,976.0,163.0,968.9238425925926,971.0
20051004,979.0,-241.0,955.8375578703703,969.0
20051016,981.0,1.0,962.1806712962963,973.0
20051028,996.0,-197.0,962.4979166666667,975.0
20051100,986.0,-315.0,957.0223484848485,967.0
20051112,984.0,-274.0,959.7490740740741,974.0
20051124,980.0,-335.0,957.2701388888889,967.0
20051196,999.0,151.0,966.4368055555556,978.0
20051208,999.0,-391.0,965.453125,977.0
20051220,1012.0,-2.0,962.222800925926,972.0
20060100,1003.0,6.0,968.4831439393939,975.0
20060112,989.0,-1.0,972.4843171296296,974.0
20060124,987.0,1.0,962.4908854166666,973.0
20060196,992.0,4.0,966.6597222222222,976.0
20060208,993.0,4.0,959.1664930555555,971.0
20060220,991.0,-1.0,970.8474537037036,975.0
20060292,987.0,165.0,976.9164351851852,977.0
20060304,992.0,-197.0,953.2663773148148,967.0
20060316,974.0,-248.0,945.3088541666667,963.0
20060328,979.0,193.0,963.1796875,964.0
20060400,971.0,-602.0,953.7616792929293,955.0
20060412,978.0,4.0,963.0324074074074,965.0
20060424,963.0,-578.0,950.5585317460317,953.0
20060496,957.0,-4.0,947.8761904761905,950.0
20060508,974.0,-5.0,955.5424768518518,955.0
20060520,958.0,-6.0,948.7329282407408,951.0
20060592,953.0,-7.0,945.4738425925926,945.0
20060604,952.0,-27.0,934.3201388888889,942.0
20060616,975.0,-9.0,935.4248263888888,943.0
20060628,957.0,-8.0,935.1243055555556,940.0
20060700,994.0,-8.0,933.975505050505,941.0
20060712,967.0,-8.0,936.4184606481482,941.0
20060724,952.0,-5.0,940.1500868055556,946.0
20060796,954.0,-1500.0,942.2738095238095,947.0
20060808,951.0,-456.0,924.2282986111111,944.0
