time,max,min,mean,median
2005010100,1006.5,1005.8,1006.0677777777792,1006.1
2005010106,1008.6,1006.5,1007.6750000000013,1008.0
2005010112,1009.5,0.9,987.136666666667,1005.1
2005010118,998.9,988.8,995.9802777777774,995.8499999999999
2005010196,988.4,972.4,980.5233333333333,981.5
2005010202,973.0,966.3,969.3730555555564,969.1
2005010208,969.3,956.6,964.3580555555558,966.1500000000001
2005010214,962.1,952.6,956.9866666666669,956.3
2005010220,963.1,960.0,960.9925000000011,960.9
2005010298,973.7,963.0,969.108333333333,969.25
2005010304,977.2,967.4,973.6330555555556,974.45
2005010310,974.0,968.1,971.4088888888891,971.45
2005010316,980.1,971.2,976.6713888888887,976.8
2005010322,976.0,971.6,974.5266666666666,975.0
2005010400,981.8,970.7,976.4430555555552,977.3
2005010406,984.3,977.1,981.1113888888901,982.1
2005010412,978.6,970.9,974.1858333333325,973.4
2005010418,977.4,969.8,974.3772222222233,974.6
2005010496,972.7,969.1,970.1633333333328,969.75
2005010502,982.0,972.7,978.9319444444458,979.7
2005010508,978.5,968.8,972.3477777777784,971.95
2005010514,971.6,964.6,967.8438888888892,967.5
2005010520,971.1,965.8,968.394583333333,968.3
2005010598,975.0,967.0,972.1033333333328,972.7
2005010604,981.3,974.4,978.0908333333336,978.55
2005010610,979.5,974.8,977.7063888888886,977.8
2005010616,984.7,979.5,982.4952777777756,982.6
2005010622,984.2,975.8,979.9950000000002,979.9
2005010700,985.6,974.3,979.977777777778,980.5
2005010706,985.4,979.6,981.5263888888895,981.1
2005010712,983.3,973.7,977.8161111111109,977.3
2005010718,978.4,971.3,974.737777777777,974.7
2005010796,980.6,975.3,977.8950000000002,977.9
2005010802,984.9,980.6,983.7638888888864,984.1
2005010808,982.8,976.5,980.2705555555566,980.2
2005010814,982.6,974.6,979.0244444444452,979.3
2005010820,982.8,976.5,980.2591666666669,980.95
2005010898,985.8,976.8,981.7837500000002,981.95
2005010904,989.9,985.8,987.7922222222218,987.6
2005010910,990.0,983.1,987.3230555555546,988.1
2005010916,983.1,975.5,979.4433333333343,979.5
2005010922,975.5,973.3,974.1258333333335,973.9
2005011000,982.1,974.3,979.105555555555,979.95
2005011006,982.5,975.9,978.8658333333331,977.75
2005011012,977.6,969.9,973.1925,972.6
2005011018,974.4,969.2,971.5661111111098,971.3
2005011096,979.1,973.6,976.4950000000001,976.7
2005011102,982.5,979.0,981.2066666666666,981.3
2005011108,980.3,974.7,977.7838888888883,978.2
2005011114,980.6,976.4,978.492499999999,978.7
2005011120,978.3,972.0,974.3808333333328,973.9
2005011198,982.5,974.1,979.3437500000003,979.95
2005011204,983.8,976.0,981.1016666666661,982.5
2005011210,977.9,969.8,975.4555555555555,976.6
2005011216,976.0,970.0,973.7372222222215,974.0
2005011222,972.6,970.3,971.0575000000002,971.0
2005011300,981.5,972.6,978.3058333333327,979.2
2005011306,981.5,974.6,977.7308333333352,977.0
2005011312,976.9,968.7,972.2505555555545,971.6
2005011318,973.8,969.6,972.1258333333329,972.7
2005011396,977.8,972.2,975.2375000000003,975.3
2005011402,983.4,976.5,980.9363888888888,981.25
2005011408,976.4,968.1,972.5902777777776,972.6
2005011414,976.5,964.9,969.771388888889,969.5
2005011420,980.1,971.9,977.6995833333336,978.3
2005011498,980.6,970.9,975.2295833333333,975.0
2005011504,985.7,976.3,982.1816666666679,982.8499999999999
2005011510,980.4,969.7,975.2119444444444,975.0
2005011516,978.7,973.2,976.7066666666678,976.5
2005011522,974.8,972.1,973.0025000000002,972.8
2005011600,987.7,974.8,982.3833333333341,982.7
2005011606,987.4,978.8,982.2677777777775,980.5
2005011612,979.6,971.2,974.7802777777771,973.8
2005011618,977.7,972.2,975.4138888888882,975.7
2005011696,976.2,972.3,974.0233333333334,973.8499999999999
2005011702,979.4,973.6,978.214444444445,978.8
2005011708,973.6,967.8,970.4877777777779,970.6
