time,max,min,mean,median
2005010100,1008.6,1005.8,1006.8713888888875,1006.5
2005010112,1009.5,0.9,991.5309722222244,998.7
2005010196,988.4,966.3,972.1606250000008,970.8
2005010208,969.3,952.6,960.6723611111124,960.0
2005010220,963.1,960.0,960.9925000000011,960.9
2005010292,973.7,963.0,969.108333333333,969.25
2005010304,977.2,967.4,972.5209722222223,973.0
2005010316,980.1,971.2,976.1352083333331,976.0
2005010400,984.3,970.7,978.7772222222211,979.2
2005010412,978.6,969.8,974.2815277777771,973.8499999999999
2005010496,982.0,969.1,976.739791666668,978.3
2005010508,978.5,964.6,970.0958333333356,970.8
2005010520,971.1,965.8,968.394583333333,968.3
2005010592,975.0,967.0,972.1033333333328,972.7
2005010604,981.3,974.4,977.8986111111114,977.9
2005010616,984.7,975.8,981.870208333332,982.05
2005010700,985.6,974.3,980.7520833333325,980.8
2005010712,983.3,971.3,976.2769444444463,975.6
2005010796,984.9,975.3,982.2966666666654,983.7
2005010808,982.8,974.6,979.6475000000025,980.1
2005010820,982.8,976.5,980.2591666666669,980.95
2005010892,985.8,976.8,981.7837500000002,981.95
2005010904,990.0,983.1,987.5576388888879,987.7
2005010916,983.1,973.3,978.1139583333336,977.4
2005011000,982.5,974.3,978.9856944444427,979.1
2005011012,977.6,969.2,972.3793055555573,972.0
2005011096,982.5,973.6,980.0287500000011,981.0
2005011108,980.6,974.7,978.1381944444446,978.4
2005011120,978.3,972.0,974.3808333333328,973.9
2005011192,982.5,974.1,979.3437500000003,979.95
2005011204,983.8,969.8,978.2786111111114,977.7
2005011216,976.0,970.0,973.0672916666664,973.0
2005011300,981.5,972.6,978.0183333333314,977.9
2005011312,976.9,968.7,972.188194444443,972.1
2005011396,983.4,972.2,979.5116666666672,980.25
2005011408,976.5,964.9,971.1808333333335,971.6
2005011420,980.1,971.9,977.6995833333336,978.3
2005011492,980.6,970.9,975.2295833333333,975.0
2005011504,985.7,969.7,978.6968055555565,979.3
2005011516,978.7,972.1,975.7806250000014,975.8499999999999
2005011600,987.7,974.8,982.3255555555585,982.1
2005011612,979.6,971.2,975.0970833333339,975.2
2005011696,979.4,972.3,977.1666666666663,978.2
2005011708,976.4,965.1,969.8502777777776,969.8
2005011720,977.1,968.5,972.7129166666674,972.7
2005011792,978.1,969.3,974.3070833333346,974.6500000000001
2005011804,980.3,971.6,975.732361111111,974.8499999999999
2005011816,976.8,969.5,972.321666666665,971.6
2005011900,984.9,973.8,981.022083333335,981.3
2005011912,983.6,970.8,976.6427777777789,976.0
2005011996,990.2,975.6,985.092083333333,986.1
2005012008,988.2,980.2,985.4806944444441,986.1500000000001
2005012020,984.8,976.7,979.4029166666662,978.5
2005012092,985.4,979.3,983.3033333333353,983.95
2005012104,985.7,970.0,978.973055555555,979.1
2005012116,978.4,968.0,973.0837499999984,973.3
2005012200,975.8,968.6,972.929999999999,973.6500000000001
2005012212,971.9,964.6,967.6187499999977,967.5
2005012296,975.4,964.7,971.773541666666,972.9
2005012308,974.9,968.0,970.8233333333337,970.7
