time,max,min,mean,median
20050101,1009.5,0.9,978.971087962965,973.9
20050104,984.7,964.6,975.6043055555544,976.1
20050107,990.0,971.3,980.8648148148133,980.9
20050110,983.8,969.2,976.8478935185167,977.1
20050113,985.7,964.9,975.7647916666674,975.7
20050116,987.7,965.1,975.2784722222244,975.0
20050119,990.2,968.0,980.3007638888876,980.7
20050122,976.4,961.1,970.0119675925904,970.2
20050125,975.5,956.8,966.7614583333261,966.5
20050128,984.9,955.7,970.0383101851844,970.5
20050131,984.4,966.9,975.2727777777774,974.8
20050200,988.3,972.1,981.3674305555573,981.1
20050203,984.4,970.1,978.9475462962996,979.8
20050206,985.6,968.4,977.4987731481494,977.3
20050209,993.2,972.7,982.1899999999961,981.6
20050212,984.6,962.1,972.6259027777816,972.5
20050215,979.0,964.3,971.3630555555583,971.3
20050218,1025.7,-5694.0,994.3883101851828,1002.3
20050221,1281.4,144.5,984.4969907407392,983.1
20050224,1002.2,2.0,986.8659953703685,987.5
20050227,996.5,981.1,990.2369791666672,991.7
20050299,992.1,979.1,986.1334027777763,987.5
20050302,1182.9,170.4,1001.4022685185153,1001.5
20050305,1008.2,26.1,978.1157870370386,979.4
20050308,974.6,167.0,964.7065972222193,965.5
20050311,1523.7,3.0,982.8477083333352,983.8
20050314,976.2,143.4,969.9743981481483,970.9
20050317,989.6,967.1,978.3951620370456,979.3
20050320,975.9,962.3,967.6897453703751,967.3
20050323,983.1,962.6,972.4403935185211,972.6500000000001
20050326,968.7,959.3,964.1482870370342,964.7
20050329,973.6,958.1,965.5847453703717,966.1
20050401,975.5,961.3,967.0031712962883,966.6
20050404,968.1,938.9,952.1016435185177,950.8499999999999
20050407,971.8,941.5,957.5042361111076,957.6
20050410,975.4,965.8,970.5926157407375,970.4
20050413,977.0,962.6,968.8215509259271,968.2
20050416,968.6,956.7,962.2664120370387,962.1
20050419,969.9,955.0,962.8121990740784,963.7
20050422,965.0,952.0,957.45625,957.0
20050425,960.0,938.0,949.4347222222223,950.0
20050428,945.0,933.0,939.037962962963,939.0
20050500,955.0,945.0,949.8680555555555,949.0
20050503,954.0,940.0,947.1680555555556,949.0
20050506,956.0,942.0,948.1210648148148,946.0
20050509,951.0,938.0,945.1935185185185,945.0
20050512,954.0,940.0,947.0810185185185,947.0
20050515,958.0,948.0,952.5898148148148,952.0
20050518,963.0,951.0,956.9150462962963,957.0
20050521,956.0,945.0,950.887962962963,951.0
20050524,954.0,943.0,948.1456018518519,948.0
20050527,955.0,944.0,950.3743055555556,951.0
20050530,954.0,941.0,947.3739583333333,947.0
20050599,948.0,940.0,943.6451388888889,944.0
20050602,946.0,935.0,940.7486111111111,940.0
20050605,955.0,939.0,947.830787037037,948.0
20050608,946.0,937.0,941.9069444444444,943.0
20050611,941.0,930.0,935.4983796296297,935.0
20050614,942.0,931.0,936.5715277777778,936.0
20050617,942.0,932.0,936.6824074074074,937.0
20050620,943.0,933.0,937.5962962962963,937.0
20050623,941.0,222.0,935.9752314814815,937.0
20050626,943.0,5.0,936.4231481481481,936.0
20050629,945.0,937.0,941.640625,942.0
20050701,947.0,207.0,941.3962962962963,943.0
20050704,949.0,-6.0,938.2560185185185,944.0
20050707,945.0,-7.0,939.4555555555555,941.0
20050710,944.0,-4.0,940.2090277777778,941.0
20050713,948.0,-614.0,940.7810185185185,941.0
20050716,950.0,535.0,943.1456018518519,943.0
20050719,950.0,941.0,946.2030092592593,947.0
20050722,948.0,-655.0,943.6916666666667,944.0
20050725,947.0,-652.0,939.9715277777777,942.0
20050728,945.0,219.0,939.9430555555556,941.0
20050731,945.0,938.0,941.0479166666667,941.0
20050800,942.0,936.0,939.3472222222222,940.0
20050803,949.0,213.0,942.0256944444444,942.0
20050806,949.0,219.0,943.7532407407407,945.0
20050809,944.0,157.0,932.9034722222223,939.0
20050812,945.0,-410.0,936.4796296296296,941.0
20050815,957.0,-9.0,942.8465277777777,947.0
20050818,957.0,-9.0,943.7414351851852,952.0
20050821,959.0,-209.0,949.8916666666667,955.0
20050824,975.0,-6.0,946.7247685185185,952.0
20050827,953.0,-6.0,940.362037037037,949.0
20050830,953.0,213.0,948.6472222222222,951.0
