time,max,min,mean,median
2005010100,1006.5,1005.8,1006.0800000000014,1006.1
2005010103,1006.5,1005.8,1006.0555555555558,1006.0
2005010106,1008.4,1006.5,1007.3155555555553,1007.1
2005010109,1008.6,1006.7,1008.034444444444,1008.2
2005010112,1009.5,0.9,972.3461111111108,1005.6
2005010115,1005.4,998.9,1001.817222222222,1001.6
2005010118,998.9,995.9,997.2899999999994,997.4
2005010121,995.8,988.8,994.6705555555554,994.95
2005010199,988.4,972.4,980.5233333333333,981.5
2005010202,973.0,967.8,970.6811111111115,971.0
2005010205,972.2,966.3,968.0649999999997,967.05
2005010208,969.3,966.2,968.0761111111112,968.2
2005010211,966.1,956.6,960.6400000000014,960.75
2005010214,956.7,952.6,954.8272222222229,954.9
2005010217,962.1,954.4,959.1461111111109,959.5
2005010220,961.9,960.0,960.8494444444456,960.9
2005010223,963.1,960.2,961.4216666666664,961.4
2005010298,966.3,963.0,964.7499999999998,964.8499999999999
2005010301,973.7,966.4,970.5611111111111,970.6
2005010304,977.2,973.8,975.9077777777779,976.45
2005010307,976.4,967.4,971.3583333333338,971.4
2005010310,974.0,968.1,971.6861111111103,972.1
2005010313,973.8,968.7,971.1316666666654,970.9
2005010316,977.5,971.2,974.7755555555555,975.05
2005010319,980.1,976.1,978.5672222222221,978.8
2005010322,976.0,971.6,974.5266666666666,975.0
2005010400,977.3,970.7,973.1177777777776,972.45
2005010403,981.8,977.3,979.768333333333,979.9
2005010406,984.3,981.8,982.877222222223,982.6
2005010409,984.1,977.1,979.3455555555548,978.05
2005010412,978.6,971.6,975.9661111111106,976.6500000000001
2005010415,975.4,970.9,972.4055555555553,972.05
2005010418,977.4,974.7,976.4705555555555,976.6
2005010421,974.5,969.8,972.2838888888884,972.2
2005010499,972.7,969.1,970.1633333333328,969.75
2005010502,980.0,972.7,976.879444444444,976.8
2005010505,982.0,978.8,980.984444444443,981.2
2005010508,978.5,970.3,972.772777777778,971.5
2005010511,973.4,968.8,971.9227777777778,972.1
2005010514,968.8,964.6,966.0122222222211,965.8
2005010517,971.6,966.6,969.6755555555538,970.4
2005010520,971.1,966.5,969.0772222222222,969.2
2005010523,967.1,965.8,966.3466666666669,966.3
2005010598,969.9,967.0,968.4566666666669,968.5
2005010601,975.0,970.0,973.3188888888888,974.0
2005010604,981.3,975.0,978.7627777777785,979.1
2005010607,981.3,974.4,977.4188888888901,976.75
2005010610,977.8,974.8,976.6288888888895,976.8
2005010613,979.5,977.8,978.7838888888884,979.0
2005010616,982.6,979.5,980.8883333333341,980.8499999999999
2005010619,984.7,982.6,984.1022222222243,984.5
2005010622,984.2,975.8,979.9950000000002,979.9
2005010700,980.5,974.3,976.5738888888898,975.8
2005010703,985.6,980.5,983.3816666666665,983.6500000000001
2005010706,985.4,979.9,982.0638888888882,981.6
2005010709,982.9,979.6,980.9888888888884,980.75
2005010712,983.3,975.4,980.2027777777779,980.8
2005010715,978.4,973.7,975.4294444444444,974.8
2005010718,978.4,974.4,976.492222222222,976.5
2005010721,975.3,971.3,972.983333333334,973.0
2005010799,980.6,975.3,977.8950000000002,977.9
2005010802,984.5,980.6,983.2766666666652,983.7
2005010805,984.9,982.8,984.2511111111112,984.4
2005010808,982.8,979.0,980.1955555555561,979.9
2005010811,981.8,976.5,980.3455555555557,980.75
2005010814,979.3,974.6,976.3072222222222,975.9
2005010817,982.6,979.3,981.7416666666651,982.3
2005010820,982.8,978.0,981.3955555555551,981.95
2005010823,977.9,976.5,976.8499999999993,976.6
2005010898,979.1,976.8,977.9983333333333,978.05
2005010901,985.8,979.2,983.0455555555558,983.4
2005010904,987.6,985.8,986.9744444444442,987.2
2005010907,989.9,987.5,988.6100000000007,988.6
2005010910,990.0,988.1,989.005555555556,988.9
2005010913,988.1,983.1,985.6405555555568,985.6
2005010916,983.1,979.5,981.5094444444446,981.6500000000001
2005010919,979.5,975.5,977.3772222222213,977.2
2005010922,975.5,973.3,974.1258333333335,973.9
2005011000,979.9,974.3,977.117222222221,977.0
2005011003,982.1,980.0,981.0938888888887,981.1
2005011006,982.5,977.8,981.0572222222219,981.5
2005011009,977.7,975.9,976.6744444444462,976.7
2005011012,977.6,970.7,974.981666666667,975.55
2005011015,974.1,969.9,971.4033333333332,970.9
2005011018,974.4,970.6,972.5655555555561,972.8
2005011021,973.6,969.2,970.5666666666665,970.1
2005011099,979.1,973.6,976.4950000000001,976.7
2005011102,981.9,979.1,980.9327777777775,981.2
2005011105,982.5,979.0,981.4805555555562,981.9
2005011108,978.9,974.7,976.2655555555555,976.0
2005011111,980.3,977.6,979.3022222222228,979.4
2005011114,979.0,976.4,977.2322222222218,977.1
2005011117,980.6,978.3,979.752777777778,979.8
2005011120,978.3,972.0,974.8816666666658,974.7
2005011123,974.2,972.0,972.8783333333334,972.7
2005011198,977.2,974.1,975.7133333333331,975.75
2005011201,982.5,977.2,980.5538888888891,981.0
2005011204,983.8,982.5,983.2188888888893,983.3
2005011207,982.7,976.0,978.9844444444451,978.8499999999999
2005011210,977.9,975.7,977.0444444444435,977.4
2005011213,977.9,969.8,973.8666666666654,974.0
2005011216,975.6,970.0,972.911666666667,973.0
2005011219,976.0,971.6,974.5627777777777,975.05
2005011222,972.6,970.3,971.0575000000002,971.0
2005011300,979.2,972.6,976.0394444444445,976.0
2005011303,981.5,979.2,980.5722222222228,980.6
2005011306,981.5,975.3,979.4861111111114,980.1
2005011309,977.2,974.6,975.9755555555553,976.1
2005011312,976.9,971.0,974.3588888888889,974.7
2005011315,972.5,968.7,970.1422222222226,970.0
2005011318,973.8,972.5,973.343333333334,973.3499999999999
2005011321,972.8,969.6,970.908333333334,970.9
2005011399,977.8,972.2,975.2375000000003,975.3
2005011402,982.6,977.8,980.4861111111102,980.8
2005011405,983.4,976.5,981.3866666666662,982.3499999999999
2005011408,976.4,970.7,972.3355555555556,971.6500000000001
2005011411,974.9,968.1,972.8450000000004,973.5
2005011414,969.5,964.9,966.5316666666665,966.25
2005011417,976.5,969.5,973.011111111112,973.1
2005011420,980.1,976.5,978.7816666666671,978.9
2005011423,977.1,971.9,974.4533333333333,974.3
2005011498,971.9,970.9,971.3133333333336,971.3
2005011501,980.6,971.5,976.5350000000003,976.8499999999999
2005011504,985.7,980.6,983.6277777777784,983.6
2005011507,985.5,976.3,980.7355555555544,980.55
2005011510,980.4,974.6,978.4416666666664,978.8
2005011513,975.4,969.7,971.9822222222218,971.6500000000001
2005011516,978.3,975.3,976.3005555555554,976.1
2005011519,978.7,973.2,977.1127777777772,978.0
2005011522,974.8,972.1,973.0025000000002,972.8
2005011600,982.7,974.8,978.8977777777778,978.9
2005011603,987.7,982.7,985.868888888889,986.4
2005011606,987.4,980.5,985.2949999999998,986.2
2005011609,980.5,978.8,979.2405555555542,979.1
2005011612,979.6,972.3,977.1583333333328,977.9
2005011615,974.5,971.2,972.4022222222225,972.1500000000001
2005011618,977.7,974.5,976.3233333333329,976.4
2005011621,976.9,972.2,974.5044444444441,974.8
2005011699,976.2,972.3,974.0233333333334,973.8499999999999
2005011702,979.1,976.2,978.3855555555566,978.8
2005011705,979.4,973.6,978.0433333333333,978.8
2005011708,973.6,967.8,969.6155555555558,969.3
2005011711,972.6,968.0,971.3599999999996,971.95
2005011714,968.2,965.1,966.3705555555558,966.2
2005011717,976.4,968.2,972.0549999999998,972.0
2005011720,977.1,968.9,974.0294444444452,975.0
2005011723,969.3,968.5,968.7633333333334,968.7
2005011798,971.8,969.3,970.4966666666667,970.4
2005011801,978.1,971.8,975.5772222222222,976.05
2005011804,980.3,978.1,979.3538888888885,979.3
2005011807,979.0,971.6,974.9827777777781,974.75
2005011810,974.6,971.8,973.5711111111107,973.8
2005011813,976.7,973.8,975.0216666666674,974.9
2005011816,976.8,972.1,975.0566666666671,975.6
2005011819,972.1,969.5,970.2227777777791,970.2
2005011822,973.8,969.6,971.3675000000001,971.05
2005011900,981.6,973.8,978.1455555555558,978.3
2005011903,984.9,981.6,983.5077777777761,983.6
2005011906,984.8,979.6,982.791666666667,983.05
2005011909,981.6,978.3,979.6433333333333,979.2
2005011912,983.6,977.0,981.7194444444444,982.4
2005011915,979.5,973.9,975.6483333333335,975.2
2005011918,980.0,972.5,976.9250000000005,977.3
2005011921,975.6,970.8,972.2783333333329,971.9
2005011999,982.0,975.6,978.9849999999998,979.25
2005012002,987.8,982.0,985.1977777777777,985.4
2005012005,990.2,987.8,989.0577777777772,989.1
2005012008,988.2,980.2,982.8077777777772,981.75
2005012011,987.8,982.5,985.5766666666666,985.6
2005012014,988.0,985.7,986.9788888888901,987.3499999999999
2005012017,987.3,984.8,986.5594444444437,986.6500000000001
2005012020,984.8,976.7,979.9061111111108,979.3499999999999
2005012023,979.3,976.9,977.8933333333335,977.8499999999999
2005012098,981.8,979.3,980.6000000000001,980.6
2005012101,985.4,982.0,984.2044444444457,984.5
2005012104,985.7,982.0,984.5094444444445,985.1
2005012107,982.0,976.7,978.8494444444449,978.5
2005012110,981.3,976.9,979.3955555555555,979.7
2005012113,979.5,970.0,973.1377777777781,971.95
2005012116,978.4,971.9,976.3016666666656,977.1
2005012119,976.8,969.2,972.772777777778,972.9
2005012122,969.9,968.0,968.7233333333338,968.6
2005012200,974.7,969.9,972.9244444444446,973.2
2005012203,975.6,974.6,975.0733333333338,975.0
2005012206,975.8,971.0,974.0677777777781,974.4
2005012209,971.3,968.6,969.6544444444447,969.5
2005012212,971.9,964.9,968.9961111111104,969.3
2005012215,970.2,964.6,967.4977777777783,967.8
2005012218,970.2,966.7,968.4677777777788,968.6
2005012221,966.7,964.7,965.5133333333342,965.5
2005012299,969.8,964.7,966.9333333333335,966.8499999999999
2005012302,974.8,970.0,972.894444444445,973.2
2005012305,975.4,972.0,973.8794444444447,973.9
2005012308,972.0,968.0,969.2449999999991,968.8
2005012311,971.0,968.7,969.7200000000001,969.7
2005012314,971.6,970.5,970.9199999999989,970.9
2005012317,974.9,971.5,973.4083333333324,973.7
2005012320,974.1,970.9,972.6377777777781,972.7
2005012323,970.9,968.2,969.4166666666662,969.25
2005012398,968.6,967.7,967.9616666666673,967.8
2005012401,975.4,968.6,972.312777777778,972.8
2005012404,976.4,973.0,975.0977777777789,975.5
2005012407,972.9,968.0,969.727222222223,969.1
2005012410,971.8,968.8,970.7588888888907,971.0
2005012413,971.1,962.8,966.2144444444447,965.95
2005012416,967.4,963.2,965.5561111111122,965.6
2005012419,966.1,962.0,964.0555555555559,964.1
2005012422,963.7,961.1,961.8741666666671,961.6
2005012500,971.0,963.7,967.7899999999996,968.05
2005012503,973.6,971.0,972.8577777777774,973.1
2005012506,973.4,969.8,971.7205555555548,971.8
2005012509,969.8,965.9,967.1272222222225,966.5
2005012512,966.7,959.5,963.9633333333333,964.45
2005012515,966.2,959.4,962.2511111111116,961.6500000000001
2005012518,967.3,963.1,965.8438888888892,966.4
2005012521,963.6,960.9,961.9627777777779,961.9
2005012599,970.4,963.7,967.4408333333338,967.8
2005012602,975.0,970.4,972.8733333333328,973.1
2005012605,975.5,971.8,974.2544444444445,974.6
2005012608,971.7,966.8,968.5583333333327,968.3499999999999
2005012611,969.8,967.4,968.888888888889,969.0
2005012614,967.9,961.6,964.6911111111109,964.8
2005012617,966.3,961.8,964.7305555555578,965.5
2005012620,966.0,961.6,964.0622222222228,964.6
2005012623,963.6,961.7,962.4749999999999,962.4
2005012698,966.4,963.6,964.9366666666668,964.8499999999999
2005012701,971.8,966.4,969.5672222222212,969.75
2005012704,973.0,971.4,972.2783333333331,972.2
2005012707,971.4,963.8,967.0861111111108,966.8
2005012710,967.3,964.2,966.1105555555554,966.7
2005012713,966.7,961.0,962.6211111111115,961.6
2005012716,966.6,961.4,964.0905555555548,964.1500000000001
2005012719,966.6,959.2,963.1327777777774,963.3
2005012722,959.2,956.8,957.5725,957.4
