time,max,min,mean,median
20080101,23.8,19.2,22.11666666666667,22.35
20080102,21.1,16.2,19.537499999999998,19.799999999999997
20080103,18.1,15.0,16.53333333333333,16.5
20080104,21.8,16.1,19.929166666666667,20.45
20080105,25.4,20.6,22.90416666666667,22.9
20080106,25.3,17.8,21.795833333333334,22.25
20080107,22.5,17.1,19.004166666666666,18.55
20080108,21.2,17.0,19.020833333333332,18.9
20080109,21.1,17.6,19.24166666666667,19.3
20080110,26.9,20.2,23.912499999999994,24.15
20080111,25.8,18.3,22.962500000000002,23.65
20080112,23.0,18.4,21.125,21.35
20080113,26.9,22.2,24.637500000000003,24.85
20080114,28.2,24.6,26.220833333333335,26.4
20080115,28.3,24.8,27.033333333333335,27.1
20080116,27.1,22.5,25.120833333333334,25.05
20080117,27.2,23.4,25.108333333333334,25.1
20080118,27.7,24.1,25.704166666666666,25.6
20080119,26.6,22.4,24.849999999999998,24.85
20080120,24.5,19.2,22.483333333333338,22.7
20080121,24.5,19.2,21.275000000000002,21.25
20080122,22.6,19.4,21.141666666666666,21.15
20080123,23.1,19.5,21.412499999999998,21.2
20080124,22.8,18.1,20.675,20.9
20080125,21.6,17.5,19.724999999999998,19.6
20080126,20.2,17.0,18.437499999999996,18.4
20080127,23.1,17.8,21.012500000000003,21.15
20080128,22.3,16.4,19.845833333333328,20.2
20080129,20.4,17.3,18.98333333333333,19.0
20080130,21.6,16.6,19.633333333333336,19.6
20080131,21.6,17.1,19.258333333333336,19.3
20080201,21.1,17.0,19.229166666666664,19.5
20080202,21.1,17.3,19.291666666666668,19.25
20080203,21.7,16.7,19.891666666666673,19.950000000000003
20080204,22.2,18.4,20.24166666666667,20.25
20080205,21.3,17.3,19.708333333333332,19.7
20080206,22.1,17.9,19.541666666666664,19.55
20080207,23.8,18.2,21.587500000000002,21.6
20080208,21.2,17.9,19.574999999999996,19.35
20080209,20.4,16.1,18.195833333333336,18.05
20080210,17.7,13.8,16.220833333333335,16.4
20080211,19.5,15.1,16.916666666666664,16.75
20080212,23.3,17.6,20.616666666666667,20.85
20080213,21.6,14.6,18.995833333333334,19.4
20080214,16.0,13.3,14.649999999999999,14.75
20080215,18.3,13.4,16.224999999999998,16.5
20080216,20.0,15.2,17.6625,17.700000000000003
20080217,19.0,15.6,17.820833333333333,17.85
20080218,19.7,16.0,18.166666666666664,18.3
20080219,20.8,14.2,18.17083333333333,18.8
20080220,17.2,13.4,15.641666666666664,15.7
20080221,17.8,12.3,15.9375,16.15
20080222,15.8,13.2,14.641666666666666,14.75
20080223,22.7,14.9,19.716666666666665,20.55
20080224,25.3,21.0,23.075000000000006,23.0
20080225,25.7,19.8,23.274999999999995,23.5
20080226,21.2,16.0,19.41666666666666,19.75
20080227,16.3,12.5,14.141666666666667,14.4
20080228,16.5,12.0,14.533333333333331,14.7
20080229,15.8,13.3,14.208333333333334,14.0
20080301,18.2,14.2,16.183333333333334,16.4
20080302,19.6,14.5,17.099999999999998,17.1
20080303,20.6,16.8,18.8875,18.65
20080304,20.2,15.6,17.933333333333334,18.25
20080305,21.2,15.8,18.84583333333333,19.2
20080306,23.2,17.6,20.933333333333334,21.2
20080307,23.3,18.7,20.616666666666667,20.6
20080308,23.2,18.8,20.920833333333338,20.75
20080309,23.4,15.7,20.175,20.2
20080310,21.1,14.0,17.612499999999997,17.9
20080311,16.8,13.3,14.875,15.05
20080312,21.0,14.9,17.674999999999997,18.0
20080313,19.1,16.5,18.112499999999994,18.1
20080314,23.5,17.4,20.466666666666665,20.6
20080315,22.0,16.6,19.22083333333333,19.15
20080316,22.5,16.5,19.70833333333334,19.950000000000003
20080317,21.8,16.4,19.4,19.6
20080318,18.8,14.8,16.683333333333334,16.75
20080319,22.6,16.1,20.245833333333334,20.7
20080320,22.6,17.4,20.2375,20.3
20080321,21.2,16.6,18.85,19.05
20080322,20.7,17.5,19.354166666666664,19.35
20080323,17.8,12.8,15.65,16.05
20080324,19.2,14.2,17.45,17.85
20080325,20.0,16.2,18.441666666666663,18.4
20080326,21.0,16.8,18.687500000000004,18.65
20080327,19.7,16.1,18.23333333333333,18.3
20080328,22.1,16.9,18.941666666666666,19.0
20080329,37.4,19.2,23.383333333333336,23.5
20080330,24.5,15.5,20.945833333333333,21.25
20080331,20.2,14.0,16.825000000000003,16.55
20080401,16.9,13.6,15.229166666666671,15.1
20080402,17.6,14.4,16.045833333333334,16.05
20080403,21.0,14.8,18.062499999999996,18.15
20080404,20.2,14.9,17.183333333333334,17.05
20080405,18.8,14.9,16.65833333333333,16.6
20080406,17.7,14.9,16.425,16.6
20080407,17.5,14.8,16.275000000000002,16.3
20080408,17.8,14.4,16.254166666666666,16.45
20080409,19.0,14.7,16.8125,16.9
20080410,16.7,13.8,15.312500000000002,15.1
20080411,19.7,16.2,17.766666666666666,17.9
20080412,19.8,15.8,18.17083333333333,18.2
20080413,22.0,15.1,19.0375,19.25
20080414,17.8,13.8,16.425,16.85
20080415,16.9,14.5,15.504166666666668,15.25
20080416,17.9,13.7,15.2875,14.95
20080417,17.7,13.6,15.391666666666666,15.25
20080418,19.6,14.6,16.8625,16.75
20080419,20.4,15.4,17.8875,17.85
20080420,20.2,14.6,17.608333333333334,17.55
20080421,22.7,19.3,21.479166666666668,21.6
20080422,24.2,20.3,22.20833333333333,22.45
20080423,24.3,17.4,21.5125,22.0
20080424,22.6,16.9,19.716666666666665,19.4
20080425,21.7,16.4,19.516666666666666,19.65
20080426,21.5,16.2,18.841666666666665,18.85
20080427,20.5,16.0,18.720833333333335,19.05
20080428,22.9,17.2,19.879166666666663,19.8
20080429,21.3,15.4,18.787499999999998,19.05
20080430,17.6,14.9,15.950000000000001,15.9
20080501,22.2,16.5,18.554166666666664,18.35
20080502,20.4,16.7,18.183333333333334,18.200000000000003
20080503,24.7,15.8,19.48333333333333,18.6
20080504,27.3,19.9,24.17916666666667,24.85
20080505,25.1,19.9,22.729166666666668,22.65
20080506,25.1,17.2,21.654166666666665,21.95
20080507,19.1,15.2,16.9625,17.0
20080508,19.0,13.8,16.1125,16.1
20080509,19.0,13.8,15.591666666666667,15.5
20080510,17.4,8.8,13.370833333333335,14.75
20080511,22.9,10.5,15.512499999999998,14.649999999999999
20080512,23.8,15.7,19.541666666666668,19.7
20080513,18.4,11.6,14.912500000000003,15.05
20080514,18.0,12.8,15.595833333333333,15.649999999999999
20080515,19.1,14.9,16.854166666666664,16.85
20080516,18.3,14.3,15.554166666666665,15.2
20080517,19.3,14.7,17.058333333333334,16.799999999999997
20080518,22.7,17.0,20.08333333333333,19.9
20080519,20.3,16.1,18.00416666666667,17.95
20080520,20.5,17.0,18.870833333333334,18.85
20080521,18.8,0.0,15.908333333333333,16.35
20080522,18.8,0.0,15.645833333333334,16.05
20080523,23.6,13.3,16.59583333333333,15.9
20080524,17.0,13.7,15.683333333333335,15.75
20080525,18.7,14.9,16.72083333333333,16.55
20080526,19.1,14.7,16.654166666666665,16.8
20080527,20.2,16.1,17.804166666666656,17.85
20080528,20.7,16.7,18.420833333333334,18.25
20080529,22.4,17.5,19.92916666666667,19.85
20080530,24.1,18.5,21.683333333333334,21.700000000000003
20080531,24.2,18.5,20.983333333333334,21.1
20080601,20.9,17.9,19.470833333333335,19.6
20080602,23.2,18.9,21.0,21.0
20080603,24.5,19.7,22.608333333333334,22.8
20080604,24.6,18.6,21.46666666666667,21.6
20080605,22.7,18.7,20.441666666666663,20.45
20080606,21.0,18.1,19.587500000000002,19.6
20080607,21.5,17.6,19.48333333333333,19.55
20080608,21.8,16.5,19.012499999999996,18.55
20080609,20.5,15.8,18.229166666666664,18.1
20080610,20.6,16.8,18.354166666666668,18.4
20080611,21.8,17.3,19.575,19.8
20080612,21.1,18.7,20.041666666666664,20.0
20080613,21.6,19.2,20.1375,20.05
20080614,24.0,20.4,22.2,22.2
20080615,23.4,20.0,21.754166666666666,21.85
20080616,22.3,18.7,20.395833333333332,20.2
20080617,25.5,19.9,22.391666666666662,22.4
20080618,23.9,18.4,21.34583333333333,21.55
20080619,20.5,14.5,17.9,18.1
20080620,19.2,15.0,16.345833333333335,16.05
20080621,28.0,5.5,10.8125,7.45
20080622,13.6,4.1,7.575,6.95
20080623,13.6,2.8,6.941666666666667,5.2
20080624,13.6,2.8,5.104166666666667,4.05
20080625,6.5,3.4,4.637500000000001,4.2
20080626,5.3,3.1,4.3625,4.35
20080627,4.8,3.1,3.8166666666666678,3.7
20080628,11.9,3.9,5.841666666666666,4.85
20080629,20.2,11.3,15.241666666666667,15.3
20080630,37.6,12.8,23.575,19.6
20080701,37.7,19.4,26.449999999999992,25.4
20080702,257.4,7.6,94.32083333333334,52.95
20080703,1869.9,195.8,599.0791666666667,292.6
20080704,1887.2,714.4,1442.0666666666666,1364.05
20080705,1585.9,601.3,1118.3124999999998,1212.5
20080706,1168.3,289.2,613.2958333333335,445.2
20080707,1233.8,607.5,856.9958333333334,888.55
20080708,816.2,238.7,370.59999999999997,312.9
20080709,994.9,257.8,578.4875,630.05
20080710,1638.8,197.4,666.9999999999999,667.5
20080711,1558.9,556.9,1092.8666666666666,1103.65
20080712,1550.6,596.1,1104.2458333333332,1101.25
20080713,1149.6,385.8,625.6208333333333,586.25
20080714,789.1,169.8,425.84166666666664,447.0
20080715,231.5,90.7,146.11666666666667,140.0
20080716,373.5,72.1,178.76250000000002,138.7
20080717,588.3,102.6,276.96250000000003,223.75
20080718,488.6,118.6,274.3666666666666,256.1
20080719,227.1,17.9,87.74583333333335,48.2
20080720,90.1,19.5,40.020833333333336,31.95
20080721,110.4,13.5,38.08749999999999,33.95
20080722,106.5,14.2,42.329166666666666,34.5
20080723,84.4,8.8,32.97083333333333,28.0
20080724,105.9,21.9,55.512499999999996,52.55
20080725,91.1,19.4,45.23333333333334,45.9
20080726,209.7,20.7,68.5,37.5
20080727,202.6,63.9,130.4125,131.85
20080728,130.0,42.5,83.78333333333335,87.4
20080729,209.5,76.9,141.39166666666668,145.3
20080730,213.2,46.3,108.89999999999999,91.6
20080731,186.8,69.9,124.44583333333334,109.25
20080801,152.1,46.7,90.64999999999999,81.85
20080802,329.4,71.0,157.29166666666666,141.0
20080803,576.1,74.6,276.6458333333333,178.0
20080804,553.2,259.3,394.37083333333334,418.4
20080805,569.2,136.0,299.7625,289.35
20080806,600.9,204.2,376.3833333333332,367.95
20080807,808.9,99.6,441.69166666666666,402.25
20080808,812.9,236.9,476.2375,460.29999999999995
20080809,1417.1,618.9,954.1791666666663,883.55
20080810,600.9,211.8,424.32083333333344,402.0
20080811,808.9,99.6,439.9791666666667,407.1
20080812,943.8,313.8,682.8291666666665,746.3499999999999
