time,value
2008010100,22.1
2008010101,23.0
2008010102,22.3
2008010103,22.6
2008010104,22.7
2008010105,22.8
2008010106,22.8
2008010107,22.4
2008010108,22.6
2008010109,23.3
2008010110,23.0
2008010111,21.6
2008010112,23.8
2008010113,23.8
2008010114,21.6
2008010115,21.6
2008010116,21.5
2008010117,23.5
2008010118,21.3
2008010119,22.2
2008010120,19.9
2008010121,19.2
2008010122,20.7
2008010123,20.5
2008010200,20.2
2008010201,20.9
2008010202,21.0
2008010203,20.3
2008010204,20.8
2008010205,20.6
2008010206,20.7
2008010207,20.6
2008010208,19.9
2008010209,19.7
2008010210,19.5
2008010211,20.0
2008010212,21.1
2008010213,20.8
2008010214,18.4
2008010215,19.7
2008010216,19.0
2008010217,17.7
2008010218,19.7
2008010219,17.8
2008010220,18.3
2008010221,19.0
2008010222,16.2
2008010223,17.0
2008010300,16.1
2008010301,17.2
2008010302,18.0
2008010303,17.4
2008010304,15.6
2008010305,16.7
2008010306,18.1
2008010307,15.9
2008010308,17.3
2008010309,16.3
2008010310,16.5
2008010311,17.1
2008010312,16.1
2008010313,16.4
2008010314,17.1
2008010315,16.6
2008010316,16.7
2008010317,16.5
2008010318,16.3
2008010319,15.9
2008010320,15.2
2008010321,15.0
2008010322,16.9
2008010323,15.9
2008010400,16.1
2008010401,16.1
2008010402,16.9
2008010403,17.7
2008010404,19.4
2008010405,18.7
2008010406,19.2
2008010407,19.4
2008010408,21.1
2008010409,21.1
2008010410,21.6
2008010411,21.3
2008010412,20.9
2008010413,21.6
2008010414,21.7
2008010415,21.0
2008010416,21.0
2008010417,21.8
2008010418,19.8
2008010419,19.8
2008010420,20.2
2008010421,20.7
2008010422,19.9
2008010423,21.3
2008010500,21.6
2008010501,20.6
2008010502,21.8
2008010503,23.0
2008010504,22.2
2008010505,22.7
2008010506,22.4
2008010507,22.9
2008010508,23.1
2008010509,24.0
2008010510,23.5
2008010511,22.6
2008010512,23.3
2008010513,24.8
2008010514,25.4
2008010515,23.0
2008010516,23.7
2008010517,23.1
2008010518,22.9
2008010519,22.3
2008010520,22.5
2008010521,22.5
2008010522,22.3
2008010523,23.5
2008010600,22.3
2008010601,22.2
2008010602,22.6
2008010603,22.5
2008010604,24.7
2008010605,23.0
2008010606,25.3
2008010607,23.0
2008010608,23.9
2008010609,25.3
2008010610,23.4
2008010611,22.9
2008010612,22.5
2008010613,21.7
2008010614,21.9
2008010615,21.6
2008010616,20.7
2008010617,20.5
2008010618,20.2
2008010619,19.0
2008010620,18.1
2008010621,18.8
2008010622,17.8
2008010623,19.2
2008010700,19.0
2008010701,18.3
2008010702,18.5
2008010703,18.6
2008010704,17.9
2008010705,17.2
2008010706,17.6
2008010707,20.7
2008010708,19.7
2008010709,19.7
2008010710,20.4
2008010711,20.1
2008010712,22.5
2008010713,20.2
2008010714,21.0
2008010715,21.0
2008010716,19.1
2008010717,18.4
2008010718,18.4
2008010719,18.5
2008010720,17.1
2008010721,17.5
2008010722,17.4
2008010723,17.3
2008010800,18.7
2008010801,17.6
2008010802,18.3
2008010803,19.3
2008010804,18.6
2008010805,18.8
2008010806,19.3
2008010807,19.0
2008010808,19.8
2008010809,19.2
2008010810,19.7
2008010811,20.4
2008010812,21.1
2008010813,21.2
2008010814,21.0
2008010815,19.3
2008010816,20.7
2008010817,18.4
2008010818,17.5
2008010819,17.0
2008010820,17.0
2008010821,18.3
2008010822,17.8
2008010823,18.5
2008010900,18.4
2008010901,17.6
2008010902,19.1
2008010903,17.8
2008010904,18.7
2008010905,18.3
2008010906,19.0
2008010907,17.7
2008010908,20.1
2008010909,18.8
2008010910,19.6
2008010911,19.1
2008010912,19.7
2008010913,19.7
2008010914,19.5
2008010915,19.7
2008010916,19.1
2008010917,20.3
2008010918,18.8
2008010919,19.8
2008010920,19.8
2008010921,20.0
2008010922,20.1
2008010923,21.1
2008011000,20.2
2008011001,21.5
2008011002,20.8
2008011003,21.7
2008011004,22.7
2008011005,25.0
2008011006,23.5
2008011007,23.5
2008011008,24.3
2008011009,23.4
2008011010,24.3
2008011011,24.4
2008011012,24.5
2008011013,25.7
2008011014,23.5
2008011015,25.7
2008011016,25.5
2008011017,26.9
2008011018,25.4
2008011019,24.0
2008011020,25.0
2008011021,23.8
2008011022,23.8
2008011023,24.8
2008011100,23.8
2008011101,24.6
2008011102,23.9
2008011103,25.1
2008011104,22.8
2008011105,25.8
2008011106,24.2
2008011107,24.5
2008011108,25.1
2008011109,23.8
2008011110,25.0
2008011111,24.8
2008011112,23.5
2008011113,23.1
2008011114,23.4
2008011115,24.0
2008011116,22.5
2008011117,21.7
2008011118,20.8
2008011119,20.9
2008011120,20.4
2008011121,19.4
2008011122,19.7
2008011123,18.3
2008011200,18.5
2008011201,18.4
2008011202,19.5
2008011203,20.5
2008011204,21.2
2008011205,20.6
2008011206,20.3
2008011207,20.4
2008011208,20.6
2008011209,20.5
2008011210,22.5
2008011211,21.5
2008011212,21.5
2008011213,22.7
2008011214,21.9
2008011215,23.0
2008011216,22.7
2008011217,21.6
2008011218,22.1
2008011219,21.0
2008011220,21.5
2008011221,21.1
2008011222,21.5
2008011223,21.9
2008011300,22.2
2008011301,23.1
2008011302,23.3
2008011303,23.5
2008011304,23.2
2008011305,22.5
2008011306,23.3
2008011307,23.9
2008011308,23.5
2008011309,25.3
2008011310,24.3
2008011311,24.9
2008011312,25.1
2008011313,26.2
2008011314,24.8
2008011315,25.8
2008011316,26.0
2008011317,26.9
2008011318,25.7
2008011319,26.3
2008011320,25.3
2008011321,25.7
2008011322,24.3
2008011323,26.2
2008011400,25.9
2008011401,24.6
2008011402,25.7
2008011403,25.1
2008011404,26.5
2008011405,25.3
2008011406,25.1
2008011407,25.2
2008011408,26.3
2008011409,25.4
2008011410,25.7
2008011411,25.7
2008011412,26.9
2008011413,26.8
2008011414,26.5
2008011415,28.2
2008011416,26.5
2008011417,27.3
2008011418,26.7
2008011419,26.1
2008011420,26.8
2008011421,27.1
2008011422,26.7
2008011423,27.2
2008011500,28.0
2008011501,26.5
2008011502,27.1
2008011503,27.2
2008011504,26.9
2008011505,26.8
2008011506,27.2
2008011507,27.1
2008011508,28.1
2008011509,27.0
2008011510,28.1
2008011511,26.3
2008011512,28.3
2008011513,27.8
2008011514,28.1
2008011515,26.9
2008011516,26.5
2008011517,27.3
2008011518,27.7
2008011519,27.3
2008011520,26.2
2008011521,25.4
2008011522,26.2
2008011523,24.8
2008011600,23.2
2008011601,24.9
2008011602,24.9
2008011603,24.8
2008011604,25.1
2008011605,25.9
2008011606,25.6
2008011607,24.8
2008011608,26.4
2008011609,26.6
2008011610,26.1
2008011611,27.1
2008011612,25.5
2008011613,25.3
2008011614,25.2
2008011615,26.0
2008011616,24.8
2008011617,25.5
2008011618,25.0
2008011619,24.3
2008011620,24.5
2008011621,24.8
2008011622,24.1
2008011623,22.5
2008011700,23.9
2008011701,23.4
2008011702,24.8
2008011703,25.6
2008011704,26.6
2008011705,25.4
2008011706,24.9
2008011707,25.3
2008011708,24.1
2008011709,24.1
2008011710,25.3
2008011711,25.0
2008011712,24.8
