time,max,min,mean,median
20080098,23.8,15.0,19.395833333333336,19.7
20080104,25.4,16.1,20.315972222222225,20.05
20080110,28.3,18.3,24.315277777777773,24.8
20080116,27.7,19.2,24.09027777777778,24.55
20080122,23.1,17.0,20.40069444444444,20.8
20080128,22.3,16.4,19.430208333333326,19.5
20080200,22.2,16.7,19.6725,19.7
20080206,23.8,13.8,18.67291666666667,18.7
20080212,23.3,13.3,17.661805555555556,17.6
20080218,22.7,12.3,17.045833333333334,16.7
20080224,25.7,12.0,18.108333333333338,16.45
20080296,18.2,14.2,16.183333333333334,16.4
20080302,23.3,14.5,19.052777777777766,19.0
20080308,23.4,13.3,18.22847222222222,18.2
20080314,23.5,14.8,19.287499999999994,19.45
20080320,22.6,12.8,18.330555555555556,18.4
20080326,37.4,14.0,19.502777777777776,19.0
20080398,21.0,13.6,16.445833333333336,16.1
20080404,20.2,14.4,16.601388888888884,16.5
20080410,22.0,13.8,17.03611111111111,17.0
20080416,22.7,13.6,17.419444444444437,16.9
20080422,24.3,16.0,20.086111111111112,19.85
20080428,22.9,14.9,18.205555555555552,18.4
20080500,27.3,15.8,20.62583333333333,19.95
20080506,25.1,8.8,16.534027777777776,16.2
20080512,23.8,11.6,16.586111111111116,16.3
20080518,23.6,0.0,17.518055555555556,17.8
20080524,22.4,13.7,17.535416666666674,17.5
20080530,24.2,18.5,21.333333333333332,21.45
20080596,20.9,17.9,19.470833333333335,19.6
20080602,24.6,17.6,20.764583333333334,20.65
20080608,21.8,15.8,19.22499999999999,19.35
20080614,25.5,14.5,20.997916666666658,21.5
20080620,28.0,2.8,8.569444444444448,6.3
20080626,37.6,3.1,10.567500000000003,5.25
20080698,1869.9,7.6,239.94999999999996,52.95
20080704,1887.2,238.7,829.9597222222219,782.3
20080710,1638.8,90.7,676.9486111111117,645.1500000000001
20080716,588.3,13.5,149.32430555555572,110.15
20080722,209.7,8.8,62.49305555555556,46.349999999999994
20080728,213.2,42.5,114.63020833333331,104.0
20080800,576.1,46.7,243.74416666666679,189.7
20080806,1417.1,99.6,518.7986111111111,438.3
20080812,1629.8,312.2,865.4937500000001,803.0
20080818,1178.8,179.7,618.9986111111114,576.85
20080824,1233.5,105.0,620.5659722222223,595.7
20080830,347.2,13.0,107.74583333333334,94.55
20080896,19.9,5.0,9.875,8.2
20080902,92.5,8.2,31.89652777777778,27.799999999999997
20080908,197.6,13.5,80.76111111111112,71.35
20080914,174.3,17.0,81.20138888888887,71.75
20080920,259.9,5.0,104.72847222222225,77.15
20080926,21.1,4.7,8.665833333333332,8.149999999999999
20080998,30.9,5.7,16.362500000000004,15.25
20081004,41.4,3.1,14.741666666666665,12.55
20081010,6.8,3.6,4.9541666666666675,4.9
20081016,7.8,3.9,5.530555555555559,5.3
20081022,6.7,2.2,3.6868055555555554,3.2
20081028,4.0,2.5,3.1239583333333325,3.1
20081100,4.2,2.3,3.2633333333333336,3.2
20081106,4.4,2.5,3.3354166666666667,3.3
20081112,4.6,2.3,3.533333333333333,3.5
20081118,4.2,2.3,3.1451388888888894,3.1
20081124,4.7,0.0,2.1673611111111155,3.4
20081130,0.3,0.0,0.08750000000000001,0.1
20081196,0.2,0.0,0.11250000000000003,0.1
20081202,2.9,0.0,0.8951388888888887,0.2
20081208,40.1,2.1,26.243055555555557,36.1
20081214,40.3,26.9,36.53680555555557,37.349999999999994
20081220,32.0,15.4,28.902777777777786,29.85
20081226,32.0,15.4,26.198611111111106,25.9
20090100,33.9,26.0,30.37333333333334,30.5
20090106,33.1,23.4,28.339583333333337,28.200000000000003
20090112,36.1,24.1,30.958333333333346,31.1
20090118,39.8,23.2,29.453472222222235,28.05
20090124,39.3,21.5,28.925694444444453,29.6
20090130,30.6,25.7,27.977083333333336,28.2
20090196,31.1,26.5,29.224999999999994,29.45
20090202,31.9,19.4,26.140277777777754,25.9
20090208,30.8,17.4,23.585416666666656,24.0
20090214,37.2,22.7,31.049305555555563,32.05
20090220,34.9,20.9,27.659027777777773,27.25
20090226,30.0,23.2,26.84722222222222,26.85
20090298,33.5,24.2,28.80833333333333,28.8
20090304,33.5,20.5,27.6784722222222,28.0
20090310,35.6,21.4,29.545833333333334,29.4
20090316,31.1,15.6,23.22569444444444,22.799999999999997
20090322,35.1,22.4,30.39097222222221,30.4
20090328,38.3,29.8,33.847916666666684,33.8
20090400,34.6,21.1,28.844166666666663,29.35
20090406,31.0,19.3,24.78333333333333,24.95
20090412,38.1,21.2,29.463888888888896,28.85
20090418,38.6,23.2,30.45625000000001,30.2
20090424,38.6,23.2,31.877083333333342,31.5
20090430,38.6,29.1,35.5,36.150000000000006
20090496,38.6,25.8,32.975,35.35
20090502,34.3,25.7,29.98541666666669,29.9
20090508,38.7,26.4,31.371527777777764,30.55
20090514,38.6,23.2,32.26249999999998,32.25
20090520,34.3,25.7,29.877083333333353,29.8
20090526,38.7,0.0,26.777777777777764,28.85
20090598,24.9,16.9,21.37222222222222,21.5
20090604,30.4,18.9,25.036111111111108,25.1
20090610,27.1,14.6,21.49097222222222,21.55
20090616,28.8,16.2,23.323611111111106,23.65
20090622,25.6,16.2,21.183333333333348,21.45
20090628,26.0,17.0,22.093055555555562,22.5
20090700,27.2,18.2,22.640833333333333,22.8
20090706,29.9,21.6,25.0076388888889,24.9
20090712,32.0,19.4,25.856944444444437,25.5
20090718,40.3,2.5,9.811805555555557,3.95
20090724,39.6,17.8,26.95486111111109,24.05
20090730,29.1,21.7,25.170833333333324,25.35
20090796,28.9,24.5,27.1375,27.1
20090802,34.1,22.0,27.98333333333332,27.95
20090808,74.6,23.4,33.58819444444444,30.0
20090814,34.4,26.2,29.214583333333344,29.1
20090820,35.3,25.4,29.942361111111122,29.85
20090826,38.6,27.1,32.298611111111114,31.95
20090898,33.8,26.2,30.743055555555557,31.05
20090904,38.4,25.6,31.452083333333356,31.55
20090910,35.2,25.0,29.876388888888908,30.05
20090916,36.9,26.7,31.093055555555548,30.85
20090922,36.8,25.0,31.056249999999995,31.15
20090928,33.1,25.3,29.53055555555555,29.45
