time,max,min,mean,median
20080101,23.8,15.0,19.395833333333336,19.7
20080104,25.4,16.1,21.543055555555558,21.8
20080107,22.5,17.0,19.08888888888888,19.05
20080110,26.9,18.3,22.666666666666668,22.75
20080113,28.3,22.2,25.96388888888889,26.2
20080116,27.7,22.5,25.311111111111114,25.25
20080119,26.6,19.2,22.86944444444444,22.7
20080122,23.1,18.1,21.076388888888886,21.1
20080125,23.1,17.0,19.724999999999994,19.55
20080128,22.3,16.4,19.487499999999994,19.55
20080131,21.6,17.1,19.258333333333336,19.3
20080200,21.1,17.0,19.260416666666668,19.35
20080203,22.2,16.7,19.947222222222226,20.0
20080206,23.8,17.9,20.23472222222223,20.1
20080209,20.4,13.8,17.111111111111118,17.1
20080212,23.3,13.3,18.087500000000006,18.75
20080215,20.0,13.4,17.236111111111114,17.4
20080218,20.8,13.4,17.326388888888893,17.45
20080221,22.7,12.3,16.76527777777778,15.8
20080224,25.7,16.0,21.92222222222223,22.5
20080227,16.5,12.0,14.294444444444444,14.3
20080299,18.2,14.2,16.183333333333334,16.4
20080302,20.6,14.5,17.97361111111111,18.25
20080305,23.3,15.8,20.131944444444443,20.2
20080308,23.4,14.0,19.56944444444445,19.85
20080311,21.0,13.3,16.887500000000003,17.25
20080314,23.5,16.5,19.79861111111111,20.1
20080317,22.6,14.8,18.77638888888889,18.75
20080320,22.6,16.6,19.480555555555558,19.6
20080323,20.0,12.8,17.18055555555556,17.4
20080326,22.1,16.1,18.62083333333333,18.45
20080329,37.4,14.0,20.384722222222216,20.0
20080401,21.0,13.6,16.445833333333336,16.1
20080404,20.2,14.9,16.755555555555546,16.65
20080407,19.0,14.4,16.44722222222222,16.45
20080410,19.8,13.8,17.083333333333336,17.4
20080413,22.0,13.8,16.988888888888887,16.7
20080416,19.6,13.6,15.847222222222221,15.55
20080419,22.7,14.6,18.99166666666666,18.85
20080422,24.3,16.9,21.14583333333333,21.5
20080425,21.7,16.0,19.02638888888889,19.3
20080428,22.9,14.9,18.205555555555552,18.4
20080500,22.2,16.5,18.368750000000002,18.3
20080503,27.3,15.8,22.130555555555553,22.45
20080506,25.1,13.8,18.243055555555557,17.3
20080509,22.9,8.8,14.825000000000001,15.3
20080512,23.8,11.6,16.683333333333334,16.3
20080515,19.3,14.3,16.488888888888887,16.5
20080518,22.7,16.1,18.98611111111111,18.95
20080521,23.6,0.0,16.05,16.1
20080524,19.1,13.7,16.352777777777778,16.3
20080527,22.4,16.1,18.71805555555555,18.4
20080530,24.2,18.5,21.333333333333332,21.45
20080599,20.9,17.9,19.470833333333335,19.6
20080602,24.6,18.6,21.691666666666663,21.7
20080605,22.7,17.6,19.8375,19.7
20080608,21.8,15.8,18.53194444444444,18.4
20080611,21.8,17.3,19.91805555555555,19.95
20080614,24.0,18.7,21.45,21.6
20080617,25.5,14.5,20.545833333333334,20.7
20080620,28.0,4.1,11.577777777777776,9.95
20080623,13.6,2.8,5.56111111111111,4.4
20080626,11.9,3.1,4.673611111111111,4.25
20080629,37.6,11.3,19.408333333333335,17.049999999999997
20080701,1869.9,7.6,239.94999999999996,52.95
20080704,1887.2,289.2,1057.8916666666669,1163.4
20080707,1233.8,238.7,602.0277777777778,645.8499999999999
20080710,1638.8,197.4,954.7041666666669,911.3499999999999
20080713,1149.6,90.7,399.1930555555554,390.4
20080716,588.3,72.1,243.3638888888889,203.15
20080719,227.1,13.5,55.284722222222236,36.05
20080722,106.5,8.8,43.60416666666668,36.9
20080725,209.7,19.4,81.38194444444443,62.15
20080728,213.2,42.5,111.35833333333335,102.55000000000001
20080731,186.8,69.9,124.44583333333334,109.25
20080800,329.4,46.7,123.97083333333336,108.25
20080803,576.1,74.6,323.5930555555557,303.35
20080806,812.9,99.6,431.43750000000006,392.29999999999995
20080809,1417.1,99.6,606.1597222222222,537.8
20080812,1629.8,313.8,1027.0513888888886,1009.2
20080815,1389.5,312.2,703.9361111111112,642.5999999999999
20080818,1178.8,179.7,707.8611111111113,692.4000000000001
20080821,1048.7,198.6,530.1361111111111,470.8
20080824,1233.5,408.9,739.933333333333,665.25
20080827,887.4,105.0,501.19861111111084,443.55
20080830,347.2,13.0,107.74583333333334,94.55
20080899,19.9,5.0,9.875,8.2
20080902,50.9,8.2,23.09722222222222,16.799999999999997
20080905,92.5,17.1,40.69583333333335,36.2
20080908,147.7,13.5,57.088888888888896,48.55
20080911,197.6,31.4,104.43333333333331,102.65
20080914,157.6,26.6,83.8916666666667,78.5
20080917,174.3,17.0,78.51111111111112,63.4
20080920,259.9,42.0,171.6277777777778,186.15
20080923,252.6,5.0,37.82916666666666,9.95
20080926,10.2,4.7,7.493055555555555,7.7
20080929,21.1,4.7,10.425,8.9
20081001,30.9,5.7,16.362500000000004,15.25
20081004,41.4,5.7,18.126388888888883,15.75
20081007,41.4,3.1,11.356944444444446,5.2
20081010,5.9,3.6,4.6375,4.6
20081013,6.8,3.6,5.270833333333333,5.2
20081016,7.8,4.1,5.784722222222221,5.6
20081019,7.6,3.9,5.276388888888891,5.1
20081022,6.7,2.3,4.40138888888889,4.55
20081025,3.6,2.2,2.9722222222222237,3.0
20081028,4.0,2.5,3.069444444444444,3.05
20081031,4.0,2.5,3.2875,3.2
20081100,3.7,2.6,3.145833333333334,3.1500000000000004
20081103,4.2,2.3,3.341666666666666,3.3
20081106,4.4,2.6,3.526388888888889,3.6
20081109,4.1,2.5,3.144444444444444,3.1
20081112,4.6,2.9,3.620833333333333,3.6
20081115,4.4,2.3,3.4458333333333337,3.5
20081118,3.5,2.3,2.9208333333333334,2.9
20081121,4.2,2.6,3.369444444444445,3.4
20081124,4.7,0.0,3.524999999999999,3.7
20081127,4.7,0.0,0.8097222222222232,0.1
20081130,0.3,0.0,0.08750000000000001,0.1
20081199,0.2,0.0,0.11250000000000003,0.1
20081202,0.3,0.0,0.12638888888888886,0.1
20081205,2.9,0.0,1.6638888888888888,1.85
20081208,40.1,2.1,15.351388888888884,4.65
20081211,40.0,34.5,37.13472222222221,37.3
20081214,40.3,35.1,37.979166666666664,38.0
20081217,39.5,26.9,35.09444444444445,35.1
20081220,32.0,27.4,30.01944444444444,30.1
20081223,32.0,15.4,27.78611111111111,29.8
20081226,32.0,15.4,27.013888888888886,29.1
20081229,27.9,22.0,25.38333333333334,25.5
20090100,33.1,26.0,30.099999999999994,30.45
20090103,33.9,27.2,30.555555555555557,30.5
20090106,31.5,23.4,27.313888888888894,26.9
20090109,33.1,26.1,29.365277777777763,29.55
20090112,33.9,24.1,29.305555555555557,29.3
20090115,36.1,29.0,32.611111111111114,32.65
20090118,33.0,23.2,27.905555555555562,27.5
20090121,39.8,23.6,31.001388888888886,28.85
20090124,39.3,21.5,27.5125,26.299999999999997
20090127,34.8,25.0,30.338888888888885,30.6
20090130,30.6,25.7,27.977083333333336,28.2
20090199,31.1,26.5,29.224999999999994,29.45
